document_id,content_exists,content_nonempty,has_article_root,html_chars,text_chars,estimated_blocks,has_start,has_end,page_error,captcha,navigation_only,css_only,classification
usp_news_000001,True,True,True,7859,6255,17,True,True,False,False,False,False,COMPLETO
usp_news_000002,True,True,True,6335,4471,5,True,True,False,False,False,False,COMPLETO
usp_news_000003,True,True,True,2836,1918,5,True,True,False,False,False,False,COMPLETO
usp_news_000004,True,True,True,6848,4843,9,True,True,False,False,False,False,COMPLETO
usp_news_000005,True,True,True,5280,3642,11,True,True,False,False,False,False,COMPLETO
usp_news_000006,True,True,True,12339,8838,19,True,True,False,False,False,False,COMPLETO
usp_news_000007,True,True,True,3416,2285,6,True,True,False,False,False,False,COMPLETO
usp_news_000008,True,True,True,7105,3938,13,True,True,False,False,False,False,COMPLETO
usp_news_000009,True,True,True,5958,2112,8,True,True,False,False,False,False,COMPLETO
usp_news_000010,True,True,True,3482,1315,5,True,True,False,False,False,False,COMPLETO
usp_news_000011,True,True,True,8908,5479,18,True,True,False,False,False,False,COMPLETO
usp_news_000012,True,True,True,9592,5287,13,True,True,False,False,False,False,COMPLETO
usp_news_000013,True,True,True,11155,6096,11,True,True,False,False,False,False,COMPLETO
usp_news_000014,True,True,True,15781,5001,14,True,True,False,False,False,False,COMPLETO
usp_news_000015,True,True,True,9615,7437,32,True,True,False,False,False,False,COMPLETO
usp_news_000016,True,True,True,9969,5245,12,True,True,False,False,False,False,COMPLETO
usp_news_000017,True,True,True,8155,3562,12,True,True,False,False,False,False,COMPLETO
usp_news_000018,True,True,True,2031,1110,5,True,True,False,False,False,False,COMPLETO
usp_news_000019,True,True,True,4624,2122,6,True,True,False,False,False,False,COMPLETO
usp_news_000020,True,True,True,8304,5985,11,True,True,False,False,False,False,COMPLETO
usp_news_000021,True,True,True,6323,3677,8,True,True,False,False,False,False,COMPLETO
usp_news_000022,True,True,True,7254,3203,8,True,True,False,False,False,False,COMPLETO
usp_news_000023,True,True,True,7800,4026,12,True,True,False,False,False,False,COMPLETO
usp_news_000024,True,True,True,4038,1806,4,True,True,False,False,False,False,COMPLETO
usp_news_000025,True,True,True,3325,877,3,True,True,False,False,False,False,COMPLETO
usp_news_000026,True,True,True,4672,3157,7,True,True,False,False,False,False,COMPLETO
usp_news_000027,True,True,True,12158,6624,19,True,True,False,False,False,False,COMPLETO
usp_news_000028,True,True,True,3855,878,5,True,True,False,False,False,False,COMPLETO
usp_news_000029,True,True,True,12769,630,11,True,True,False,False,False,False,COMPLETO
usp_news_000030,True,True,True,5914,2118,6,True,True,False,False,False,False,COMPLETO
usp_news_000031,True,True,True,7087,6485,5,True,True,False,False,False,False,COMPLETO
usp_news_000032,True,True,True,9033,3183,9,True,True,False,False,False,False,COMPLETO
usp_news_000033,True,True,True,13484,7407,23,True,True,False,False,False,False,COMPLETO
usp_news_000034,True,True,True,34187,4242,20,True,True,False,False,False,False,COMPLETO
usp_news_000035,True,True,True,11731,7339,19,True,True,False,False,False,False,COMPLETO
usp_news_000036,True,True,True,7546,3860,8,True,True,False,False,False,False,COMPLETO
usp_news_000037,True,True,True,5654,3671,9,True,True,False,False,False,False,COMPLETO
usp_news_000038,True,True,True,4101,1813,7,True,True,False,False,False,False,COMPLETO
usp_news_000039,True,True,True,2233,1556,8,True,True,False,False,False,False,COMPLETO
usp_news_000040,True,True,True,6706,3756,12,True,True,False,False,False,False,COMPLETO
usp_news_000041,True,True,True,8716,3919,8,True,True,False,False,False,False,COMPLETO
usp_news_000042,True,True,True,3366,1763,5,True,True,False,False,False,False,COMPLETO
usp_news_000043,True,True,True,12129,6367,19,True,True,False,False,False,False,COMPLETO
usp_news_000044,True,True,True,11078,5836,14,True,True,False,False,False,False,COMPLETO
usp_news_000045,True,True,True,49810,13811,49,True,True,False,False,False,False,COMPLETO
usp_news_000046,True,True,True,1979,940,4,True,True,False,False,False,False,COMPLETO
usp_news_000047,True,True,True,10273,3305,10,True,True,False,False,False,False,COMPLETO
usp_news_000048,True,True,True,4013,1629,4,True,True,False,False,False,False,COMPLETO
usp_news_000049,True,True,True,48921,8749,30,True,True,False,False,False,False,COMPLETO
usp_news_000050,True,True,True,10280,9163,43,True,True,False,False,False,False,COMPLETO
usp_news_000051,True,True,True,5418,2861,7,True,True,False,False,False,False,COMPLETO
usp_news_000052,True,True,True,8772,4947,36,True,True,False,False,False,False,COMPLETO
usp_news_000053,True,True,True,16682,14338,18,True,True,False,False,False,False,COMPLETO
usp_news_000054,True,True,True,10054,3852,13,True,True,False,False,False,False,COMPLETO
usp_news_000055,True,True,True,11759,7745,17,True,True,False,False,False,False,COMPLETO
usp_news_000056,True,True,True,7037,2747,6,True,True,False,False,False,False,COMPLETO
usp_news_000057,True,True,True,16039,9016,40,True,True,False,False,False,False,COMPLETO
usp_news_000058,True,True,True,2937,2551,9,True,True,False,False,False,False,COMPLETO
usp_news_000059,True,True,True,16501,9643,27,True,True,False,False,False,False,COMPLETO
usp_news_000060,True,True,True,3302,1475,1,True,True,False,False,False,False,COMPLETO
usp_news_000061,True,True,True,6325,3076,6,True,True,False,False,False,False,COMPLETO
usp_news_000062,True,True,True,8154,3601,15,True,True,False,False,False,False,COMPLETO
usp_news_000063,True,True,True,41530,7550,28,True,True,False,False,False,False,COMPLETO
usp_news_000064,True,True,True,11297,6750,15,True,True,False,False,False,False,COMPLETO
usp_news_000065,True,True,True,8321,7439,30,True,True,False,False,False,False,COMPLETO
usp_news_000066,True,True,True,12896,5599,31,True,True,False,False,False,False,COMPLETO
usp_news_000067,True,True,True,45658,8144,35,True,True,False,False,False,False,COMPLETO
usp_news_000068,True,True,True,3496,936,5,True,True,False,False,False,False,COMPLETO
usp_news_000069,True,True,True,4115,2435,7,True,True,False,False,False,False,COMPLETO
usp_news_000070,True,True,True,4706,3043,8,True,True,False,False,False,False,COMPLETO
usp_news_000071,True,True,True,103957,32617,113,True,True,False,False,False,False,COMPLETO
usp_news_000072,True,True,True,8317,5605,9,True,True,False,False,False,False,COMPLETO
usp_news_000073,True,True,True,7254,4224,8,True,True,False,False,False,False,COMPLETO
usp_news_000074,True,True,True,35847,4401,30,True,True,False,False,False,False,COMPLETO
usp_news_000075,True,True,True,2168,1368,5,True,True,False,False,False,False,COMPLETO
usp_news_000076,True,True,True,2231,1374,2,True,True,False,False,False,False,COMPLETO
usp_news_000077,True,True,True,42465,8971,28,True,True,False,False,False,False,COMPLETO
usp_news_000078,True,True,True,7396,3437,18,True,True,False,False,False,False,COMPLETO
usp_news_000079,True,True,True,6156,3319,5,True,True,False,False,False,False,COMPLETO
usp_news_000080,True,True,True,5243,2766,5,True,True,False,False,False,False,COMPLETO
usp_news_000081,True,True,True,12611,8180,19,True,True,False,False,False,False,COMPLETO
usp_news_000082,True,True,True,14751,7389,24,True,True,False,False,False,False,COMPLETO
usp_news_000083,True,True,True,3224,1398,1,True,True,False,False,False,False,COMPLETO
usp_news_000084,True,True,True,10637,5447,15,True,True,False,False,False,False,COMPLETO
usp_news_000085,True,True,True,8241,3898,11,True,True,False,False,False,False,COMPLETO
usp_news_000086,True,True,True,1764,1015,5,True,True,False,False,False,False,COMPLETO
usp_news_000087,True,True,True,38080,7607,29,True,True,False,False,False,False,COMPLETO
usp_news_000088,True,True,True,1929,1167,4,True,True,False,False,False,False,COMPLETO
usp_news_000089,True,True,True,2466,1639,4,True,True,False,False,False,False,COMPLETO
usp_news_000090,True,True,True,15019,5404,17,True,True,False,False,False,False,COMPLETO
usp_news_000091,True,True,True,8431,5732,12,True,True,False,False,False,False,COMPLETO
usp_news_000092,True,True,True,54404,11242,38,True,True,False,False,False,False,COMPLETO
usp_news_000093,True,True,True,2564,1136,4,True,True,False,False,False,False,COMPLETO
usp_news_000094,True,True,True,6313,2767,9,True,True,False,False,False,False,COMPLETO
usp_news_000095,True,True,True,50842,11415,40,True,True,False,False,False,False,COMPLETO
usp_news_000096,True,True,True,3859,1492,4,True,True,False,False,False,False,COMPLETO
usp_news_000097,True,True,True,3490,951,5,True,True,False,False,False,False,COMPLETO
usp_news_000098,True,True,True,7742,5258,8,True,True,False,False,False,False,COMPLETO
usp_news_000099,True,True,True,2112,1886,11,True,True,False,False,False,False,COMPLETO
usp_news_000100,True,True,True,10146,3535,10,True,True,False,False,False,False,COMPLETO
