document_id,title,author,characters_before,characters_after,removed_characters,first_excerpt_before,first_excerpt_after,last_excerpt_before,last_excerpt_after,status,removed_blocks
usp_news_000001,A verdadeira face da cultura de inovação,Marcelo Caldeira Pedroso,6893,6484,409,"A cultura organizacional reflete o conjunto de valores, crenças, normas e comportamentos compartilhados pelos membros de uma organização. A cultura impacta sobremaneira a forma como as decisões são tomadas, as ações são executadas e os resultados são avaliados no contexto organizacional.

Uma cultura de inovação está associada a um ambiente organizacional que motiva os colaboradores a realizar novas ações (ou seja, inovações) visando impulsionar a evolução, o crescimento e a perpetuidade de uma ","A cultura organizacional reflete o conjunto de valores, crenças, normas e comportamentos compartilhados pelos membros de uma organização. A cultura impacta sobremaneira a forma como as decisões são tomadas, as ações são executadas e os resultados são avaliados no contexto organizacional.

Uma cultura de inovação está associada a um ambiente organizacional que motiva os colaboradores a realizar novas ações (ou seja, inovações) visando impulsionar a evolução, o crescimento e a perpetuidade de uma ","hierárquicas extremamente rígidas, excesso de burocracia e foco em resultados imediatistas.

\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_
*(As opiniões expressas nos artigos publicados no **Jornal da USP** são de inteira responsabilidade de seus autores e não refletem opiniões do veículo nem posições institucionais da Universidade de São Paulo. Acesse aqui nossos [parâmetros editoriais para artigos de opinião](https://jornal.usp.br/noticias/parametros-editoriais-para-artigos-de-opiniao-no-jornal-da-usp/).)*","mem um papel essencial na inovação. Eles devem harmonizar segurança psicológica e [honestidade intelectual](https://sloanreview.mit.edu/article/why-innovation-depends-on-intellectual-honesty/). Ademais, eles devem suplantar alguns dos desafios para uma efetiva cultura inovadora, tais como mentalidade em silos (ou seja, departamentos e outras estruturas organizacionais que inibem a colaboração), estruturas hierárquicas extremamente rígidas, excesso de burocracia e foco em resultados imediatistas.",APROVADO,"[{""rule"": ""generic_opinion_notice"", ""reason"": ""aviso institucional genérico após o artigo"", ""text"": ""\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\n*(As opiniões expressas nos artigos publicados no **Jornal da USP** são de inteira responsabilidade de seus autores e não refletem opiniões do veículo nem posições institucionais da Universidade de São Paulo. Acesse aqui nossos [parâmetros editoriais para artigos de opinião](https://jornal.usp.br/noticias/parametros-editoriais-para-artigos-de-opiniao-no-jornal-da-usp/).)*""}]"
usp_news_000002,O primeiro passo na internacionalização da Com-Arte,,4597,4188,409,"Hugo Quinta – Foto: Arquivo pessoal

OMuseo de Antropologia da cidade de Córdoba, na Argentina, foi o palco da terceira edição da *Feria Internacional del Libro Universitario (FILU)*, ocorrida entre os dias 3 e 5 de junho de 2026. A FILU tem se consolidado como um foro dedicado a refletir sobre a edição universitária em nível continental. Na feira deste ano houve mesas temáticas a abordar a trajetória profissional de editor universitário, a internacionalização das publicações acadêmicas, o ônus ","Hugo Quinta – Foto: Arquivo pessoal

OMuseo de Antropologia da cidade de Córdoba, na Argentina, foi o palco da terceira edição da *Feria Internacional del Libro Universitario (FILU)*, ocorrida entre os dias 3 e 5 de junho de 2026. A FILU tem se consolidado como um foro dedicado a refletir sobre a edição universitária em nível continental. Na feira deste ano houve mesas temáticas a abordar a trajetória profissional de editor universitário, a internacionalização das publicações acadêmicas, o ônus ","idores e divulgação dos livros da Editora-Laboratório entre os leitores hispano-americanos.

\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_
*(As opiniões expressas nos artigos publicados no **Jornal da USP** são de inteira responsabilidade de seus autores e não refletem opiniões do veículo nem posições institucionais da Universidade de São Paulo. Acesse aqui nossos [parâmetros editoriais para artigos de opinião](https://jornal.usp.br/noticias/parametros-editoriais-para-artigos-de-opiniao-no-jornal-da-usp/).)*","o corpo discente e docente dos cursos de Editoração e Jornalismo, bem com o corpo técnico-administrativo do Departamento de Jornalismo e Editoração. A possibilidade de firmar parecerias que abarquem editoras universitárias latino-americanas é um dos primeiros passos para a internacionalização da Com-Arte, o que certamente é benéfico para a formação de alunos, circulação de professores, capacitação dos servidores e divulgação dos livros da Editora-Laboratório entre os leitores hispano-americanos.",APROVADO,"[{""rule"": ""generic_opinion_notice"", ""reason"": ""aviso institucional genérico após o artigo"", ""text"": ""\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\n*(As opiniões expressas nos artigos publicados no **Jornal da USP** são de inteira responsabilidade de seus autores e não refletem opiniões do veículo nem posições institucionais da Universidade de São Paulo. Acesse aqui nossos [parâmetros editoriais para artigos de opinião](https://jornal.usp.br/noticias/parametros-editoriais-para-artigos-de-opiniao-no-jornal-da-usp/).)*""}]"
usp_news_000003,Unesp recebe Colar de Honra ao Mérito Legislativo da Assembleia Legislativa de SP,,1925,1925,0,"(Da esq. p/ dir.) Liedi Bernucci (USP); Pasqual Barretti (Unesp); Fernando Coelho (Unicamp); Beth Sahão (Alesp); Maysa Furlan (Unesp); Emidio de Souza e Guilherme Cortez (Alesp); e Raiane Assumpção (Unifesp) – Foto: Rodrigo Costa / Alesp

Em sessão solene no dia 25 de junho, a Assembleia Legislativa do Estado de São Paulo (Alesp) homenageou a Universidade Estadual Paulista (Unesp) pelos seus 50 anos de fundação e concedeu àquela Universidade o Colar de Honra ao Mérito Legislativo do Estado de Sã","(Da esq. p/ dir.) Liedi Bernucci (USP); Pasqual Barretti (Unesp); Fernando Coelho (Unicamp); Beth Sahão (Alesp); Maysa Furlan (Unesp); Emidio de Souza e Guilherme Cortez (Alesp); e Raiane Assumpção (Unifesp) – Foto: Rodrigo Costa / Alesp

Em sessão solene no dia 25 de junho, a Assembleia Legislativa do Estado de São Paulo (Alesp) homenageou a Universidade Estadual Paulista (Unesp) pelos seus 50 anos de fundação e concedeu àquela Universidade o Colar de Honra ao Mérito Legislativo do Estado de Sã"," continue firme em seu trabalho de formação de pessoas, de pesquisa, de inovação, de cultura, de arte, de extensão, que é aquilo que a gente oferece em retorno à sociedade e ao que ela nos deposita de confiança para que possamos fazer o nosso trabalho para a sociedade paulista e para o Brasil como um todo. Que a gente possa comemora muitos ganhos em um momento em que precisamos estar unidos pela autonomia universitária”.

*(Com informações da Assessoria de Comunicação e Imprensa (ACI) da Unesp)*"," continue firme em seu trabalho de formação de pessoas, de pesquisa, de inovação, de cultura, de arte, de extensão, que é aquilo que a gente oferece em retorno à sociedade e ao que ela nos deposita de confiança para que possamos fazer o nosso trabalho para a sociedade paulista e para o Brasil como um todo. Que a gente possa comemora muitos ganhos em um momento em que precisamos estar unidos pela autonomia universitária”.

*(Com informações da Assessoria de Comunicação e Imprensa (ACI) da Unesp)*",APROVADO,[]
usp_news_000004,“Revista Rasura”: educomunicação na‌ difusão científica e produção colaborativa de‌ conhecimento,,5013,4604,409,"Rodrigo Tembiú – Foto: Arquivo pessoal

Neste mês de junho, lançamos a [quinta edição da *Revista Rasura*](https://anyflip.com/vgmfd/dtgx), uma publicação colaborativa criada no Ceará em 2023, a partir de princípios educomunicativos e de comunicação comunitária. Nessa mais recente edição, a revista trata de experiências de movimentos populares contemporâneos na América Latina e políticas sociais de base comunitária em países como Colômbia, México, Argentina e Venezuela. Em seu conteúdo, destacam","Rodrigo Tembiú – Foto: Arquivo pessoal

Neste mês de junho, lançamos a [quinta edição da *Revista Rasura*](https://anyflip.com/vgmfd/dtgx), uma publicação colaborativa criada no Ceará em 2023, a partir de princípios educomunicativos e de comunicação comunitária. Nessa mais recente edição, a revista trata de experiências de movimentos populares contemporâneos na América Latina e políticas sociais de base comunitária em países como Colômbia, México, Argentina e Venezuela. Em seu conteúdo, destacam","I-FEUSP) em parceria com o PROLAM – Programa de Pós-Graduação Integração da América Latina.

\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_
*(As opiniões expressas nos artigos publicados no **Jornal da USP** são de inteira responsabilidade de seus autores e não refletem opiniões do veículo nem posições institucionais da Universidade de São Paulo. Acesse aqui nossos [parâmetros editoriais para artigos de opinião](https://jornal.usp.br/noticias/parametros-editoriais-para-artigos-de-opiniao-no-jornal-da-usp/).)*","ue abram caminho para uma forma libertadora de se pensar/construir a ciência, a cultura e a política.

A publicação da revista foi apresentada por estudantes como trabalho de conclusão do curso de extensão *Educação, Cultura e Trabalho na América Latina: História, Movimentos, Resistências e Proposições – 5ª edição – 2026*, oferecida pelo Núcleo de Avaliação Institucional da Faculdade de Educação da USP (NAI-FEUSP) em parceria com o PROLAM – Programa de Pós-Graduação Integração da América Latina.",APROVADO,"[{""rule"": ""generic_opinion_notice"", ""reason"": ""aviso institucional genérico após o artigo"", ""text"": ""\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\n*(As opiniões expressas nos artigos publicados no **Jornal da USP** são de inteira responsabilidade de seus autores e não refletem opiniões do veículo nem posições institucionais da Universidade de São Paulo. Acesse aqui nossos [parâmetros editoriais para artigos de opinião](https://jornal.usp.br/noticias/parametros-editoriais-para-artigos-de-opiniao-no-jornal-da-usp/).)*""}]"
usp_news_000005,“Revista USP” questiona os tempos e os espaços da educação,,3734,3734,0,"# **Textos, Arte e Livros**

Além do dossiê, a nova edição da *Revista USP* traz outras três seções, intituladas *Textos*, *Arte* e *Livros*.

Na seção *Textos* encontra-se a tradução inédita de um ensaio do professor da Universidade de Kobe, no Japão, Yuho Hisayama, feita por Matheus Guménin Barreto e Eliana Takara. O texto foi apresentado durante uma palestra do professor japonês na Faculdade de Filosofia, Letras e Ciências Humanas da USP, realizada em março do ano passado. Nele, Hisayama comp","# **Textos, Arte e Livros**

Além do dossiê, a nova edição da *Revista USP* traz outras três seções, intituladas *Textos*, *Arte* e *Livros*.

Na seção *Textos* encontra-se a tradução inédita de um ensaio do professor da Universidade de Kobe, no Japão, Yuho Hisayama, feita por Matheus Guménin Barreto e Eliana Takara. O texto foi apresentado durante uma palestra do professor japonês na Faculdade de Filosofia, Letras e Ciências Humanas da USP, realizada em março do ano passado. Nele, Hisayama comp","ce social das manifestações artísticas num País de não leitores, de não frequentadores de museus’”, escreve Breda.

Revista USP*, número 149, dossiê* Tempos e Espaços de Formação*, Superintendência de Comunicação Social (SCS) da USP, 180 páginas*

*A revista está disponível gratuitamente no[Portal de Revistas USP](https://revistas.usp.br/revusp/pt_BR/issue/view/14015).*

\* *Estagiária sob supervisão de Marcello Rollemberg e Roberto C. G. Castro*

*\*\* Estagiária sob supervisão de Simone Gomes*","ce social das manifestações artísticas num País de não leitores, de não frequentadores de museus’”, escreve Breda.

Revista USP*, número 149, dossiê* Tempos e Espaços de Formação*, Superintendência de Comunicação Social (SCS) da USP, 180 páginas*

*A revista está disponível gratuitamente no[Portal de Revistas USP](https://revistas.usp.br/revusp/pt_BR/issue/view/14015).*

\* *Estagiária sob supervisão de Marcello Rollemberg e Roberto C. G. Castro*

*\*\* Estagiária sob supervisão de Simone Gomes*",APROVADO,[]
usp_news_000006,Alfabetização na idade certa mobiliza formações na Bahia,Marilia Rocha,8959,8865,94,"Por [Marilia Rocha\*](https://jornal.usp.br/author/marilia-rocha/ ""Posts de Marilia Rocha*"")

O titular da Cátedra Sérgio Henrique Ferreira, Mozart Neves Ramos – Foto: Antônio Cavalcante/Coperphoto/Sistema FIEB

Mais de mil educadores participaram do ciclo de encontros sobre alfabetização organizado pelo Movimento Bahia pela Educação, com apoio da Cátedra Sérgio Henrique Ferreira, do Instituto de Estudos Avançados Polo Ribeirão Preto (IEA-RP) da USP. O encontro de encerramento, realizado em Salv","O titular da Cátedra Sérgio Henrique Ferreira, Mozart Neves Ramos – Foto: Antônio Cavalcante/Coperphoto/Sistema FIEB

Mais de mil educadores participaram do ciclo de encontros sobre alfabetização organizado pelo Movimento Bahia pela Educação, com apoio da Cátedra Sérgio Henrique Ferreira, do Instituto de Estudos Avançados Polo Ribeirão Preto (IEA-RP) da USP. O encontro de encerramento, realizado em Salvador no dia 9 de junho, reuniu representantes de cerca de 50 cidades, incluindo diretores esco","me), União dos Municípios da Bahia (UPB), Serviço Brasileiro de Apoio às Micro e Pequenas Empresas (Sebrae), Federação das Empresas de Transporte (Fetrabase), Serviço Social da Indústria (SESI) Tribunal de Contas do Estado da Bahia (TCE-BA), Tribunal de Contas dos Municípios da Bahia (TCM-BA), e Cátedra Sérgio Henrique Ferreira, do Instituto de Estudos Avançados Polo Ribeirão Preto da Universidade de São Paulo (USP Ribeirão Preto).

*\* Assessoria de Imprensa da Cátedra Sérgio Henrique Ferreira*","me), União dos Municípios da Bahia (UPB), Serviço Brasileiro de Apoio às Micro e Pequenas Empresas (Sebrae), Federação das Empresas de Transporte (Fetrabase), Serviço Social da Indústria (SESI) Tribunal de Contas do Estado da Bahia (TCE-BA), Tribunal de Contas dos Municípios da Bahia (TCM-BA), e Cátedra Sérgio Henrique Ferreira, do Instituto de Estudos Avançados Polo Ribeirão Preto da Universidade de São Paulo (USP Ribeirão Preto).

*\* Assessoria de Imprensa da Cátedra Sérgio Henrique Ferreira*",APROVADO,"[{""rule"": ""duplicate_byline"", ""reason"": ""byline inicial repete o campo autor"", ""text"": ""Por [Marilia Rocha\\*](https://jornal.usp.br/author/marilia-rocha/ \""Posts de Marilia Rocha*\"")""}]"
usp_news_000007,USP e Secretaria Municipal de Saúde selecionam estudantes para o PET-Saúde Clima,,2355,2355,0,"Estão abertas, até o dia 27 de junho, as inscrições para o processo seletivo de estudantes de graduação interessados em participar do Programa de Educação pelo Trabalho para a Saúde (PET-Saúde) Clima 2026-2028. O programa é desenvolvido pela USP, campus de Ribeirão Preto, em parceria com a Secretaria Municipal de Saúde da cidade (SMS-RP), e oferece vagas para bolsistas, voluntários e cadastro de reserva.

Podem se inscrever estudantes de graduação da USP. Terão prioridade os candidatos que ainda","Estão abertas, até o dia 27 de junho, as inscrições para o processo seletivo de estudantes de graduação interessados em participar do Programa de Educação pelo Trabalho para a Saúde (PET-Saúde) Clima 2026-2028. O programa é desenvolvido pela USP, campus de Ribeirão Preto, em parceria com a Secretaria Municipal de Saúde da cidade (SMS-RP), e oferece vagas para bolsistas, voluntários e cadastro de reserva.

Podem se inscrever estudantes de graduação da USP. Terão prioridade os candidatos que ainda"," comunicação e inovação em saúde para o enfrentamento das emergências climáticas e ambientais, todos orientados pelo princípio da equidade em saúde.

As atividades serão organizadas em cinco grupos tutoriais, compostos por dois docentes da USP, dois profissionais da rede pública de saúde e oito estudantes de graduação de diferentes cursos, promovendo a integração entre ensino, serviço e comunidade.

Dúvidas podem ser encaminhadas para o e-mail [petsaudeclima@usp.br](mailto:petsaudeclima@usp.br)."," comunicação e inovação em saúde para o enfrentamento das emergências climáticas e ambientais, todos orientados pelo princípio da equidade em saúde.

As atividades serão organizadas em cinco grupos tutoriais, compostos por dois docentes da USP, dois profissionais da rede pública de saúde e oito estudantes de graduação de diferentes cursos, promovendo a integração entre ensino, serviço e comunidade.

Dúvidas podem ser encaminhadas para o e-mail [petsaudeclima@usp.br](mailto:petsaudeclima@usp.br).",APROVADO,[]
usp_news_000008,“Ser Transformado” é tema de exposição interativa na Biblioteca Sinhá Junqueira,Sofhia Camargo,4097,4001,96,"Por [Sofhia Camargo\*](https://jornal.usp.br/author/sofhiacamargo/ ""Posts de Sofhia Camargo*"")

Um dos trabalhos em exposição na Biblioteca Sinhá Junqueira – Foto: Suzana Ketelhut

O Curso de Biblioteconomia e Ciência da Informação da Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP) da USP promove, no dia 1º de julho, a partir das 19h, a exposição *Ser Transformado*, desenvolvida por estudantes da disciplina *Mediação e Recepção da Informação*. A atividade será realizada na B","Um dos trabalhos em exposição na Biblioteca Sinhá Junqueira – Foto: Suzana Ketelhut

O Curso de Biblioteconomia e Ciência da Informação da Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP) da USP promove, no dia 1º de julho, a partir das 19h, a exposição *Ser Transformado*, desenvolvida por estudantes da disciplina *Mediação e Recepção da Informação*. A atividade será realizada na Biblioteca Sinhá Junqueira, localizada na Rua Duque de Caxias, 547, com entrada gratuita e aberta","mento, à análise de contextos sociais e culturais e à construção de ações educativas e culturais voltadas à formação de públicos.

Além da experiência artística e educativa, os estudantes participam de todas as etapas de planejamento, organização e montagem das exposições, desenvolvendo autonomia e vivência em práticas culturais.

Mais informações: perfil do Instagram [@exposicaosertransformado](https://www.instagram.com/exposicaosertransformado/).

*\*Estagiária sob supervisão de Rose Talamone*","mento, à análise de contextos sociais e culturais e à construção de ações educativas e culturais voltadas à formação de públicos.

Além da experiência artística e educativa, os estudantes participam de todas as etapas de planejamento, organização e montagem das exposições, desenvolvendo autonomia e vivência em práticas culturais.

Mais informações: perfil do Instagram [@exposicaosertransformado](https://www.instagram.com/exposicaosertransformado/).

*\*Estagiária sob supervisão de Rose Talamone*",APROVADO,"[{""rule"": ""duplicate_byline"", ""reason"": ""byline inicial repete o campo autor"", ""text"": ""Por [Sofhia Camargo\\*](https://jornal.usp.br/author/sofhiacamargo/ \""Posts de Sofhia Camargo*\"")""}]"
usp_news_000009,USP sedia evento internacional sobre os avanços e desafios da educação básica no Brasil e em Angola,,2351,2351,0,"Prédio da Faculdade de Educação que sediará encontro internacional sobre educação em Angola e Brasil – Foto: Cecília Bastos

A Faculdade de Educação (FE) da USP realiza, nos dias 29 e 30 de junho de 2026, o evento acadêmico internacional *Avanços e Desafios da Educação Básica – Angola e Brasil.* O encontro reunirá especialistas, pesquisadores, educadores e representantes de instituições de ensino para debater as estruturas dos sistemas de ensino básico nas duas nações.

A organização do evento e","Prédio da Faculdade de Educação que sediará encontro internacional sobre educação em Angola e Brasil – Foto: Cecília Bastos

A Faculdade de Educação (FE) da USP realiza, nos dias 29 e 30 de junho de 2026, o evento acadêmico internacional *Avanços e Desafios da Educação Básica – Angola e Brasil.* O encontro reunirá especialistas, pesquisadores, educadores e representantes de instituições de ensino para debater as estruturas dos sistemas de ensino básico nas duas nações.

A organização do evento e","ca e externa, as atividades são direcionadas a estudantes de graduação e pós-graduação, professores atuantes na rede de Educação Básica, pesquisadores da área e público em geral.

Os interessados poderão acompanhar a programação nos dias 29 e 30 de junho, das 14:30 às 22 horas, sem necessidade de inscrição prévia. O evento ocorrerá de forma presencial no auditório da FE, na Cidade Universitária, e contará também com transmissão online por meio do canal da FE no YouTube.

Foto: Reprodução – FEUSP","ca e externa, as atividades são direcionadas a estudantes de graduação e pós-graduação, professores atuantes na rede de Educação Básica, pesquisadores da área e público em geral.

Os interessados poderão acompanhar a programação nos dias 29 e 30 de junho, das 14:30 às 22 horas, sem necessidade de inscrição prévia. O evento ocorrerá de forma presencial no auditório da FE, na Cidade Universitária, e contará também com transmissão online por meio do canal da FE no YouTube.

Foto: Reprodução – FEUSP",APROVADO,[]
usp_news_000010,Quando o jogo sai da tela: os riscos da gamificação no cotidiano,,1414,1414,0,"<https://jornal.usp.br/wp-content/uploads/2026/05/DATACRACIA_26_JUNHO_SANDRA_LULI.mp3>

Na coluna desta semana, Luli Radfahrer comenta que a gamificação deixou de ser apenas um recurso de videogames e se tornou uma estratégia usada por aplicativos e plataformas para aumentar o engajamento dos usuários por meio de pontos, recompensas e rankings. Baseada na psicologia comportamental, ela explora o sistema de recompensa do cérebro, podendo gerar dependência e ansiedade, como mostram pesquisas sobre","<https://jornal.usp.br/wp-content/uploads/2026/05/DATACRACIA_26_JUNHO_SANDRA_LULI.mp3>

Na coluna desta semana, Luli Radfahrer comenta que a gamificação deixou de ser apenas um recurso de videogames e se tornou uma estratégia usada por aplicativos e plataformas para aumentar o engajamento dos usuários por meio de pontos, recompensas e rankings. Baseada na psicologia comportamental, ela explora o sistema de recompensa do cérebro, podendo gerar dependência e ansiedade, como mostram pesquisas sobre","sses problemas, o autor defende mais educação digital, regulação e uma cultura tecnológica que priorize o bem-estar do usuário em vez do tempo de permanência nas telas.

---

**Datacracia**
A coluna [*Datacracia*](https://jornal.usp.br/radio-usp/perfis/luli-radfahrer/), com o professor Luli Radfahrer, vai ao ar quinzenalmente, sexta-feira às 8h, na Rádio USP (São Paulo 93,7 ; Ribeirão Preto 107,9 ) e também no [Youtube](https://goo.gl/v8ZDAf), com produção da Rádio USP Jornal da USP e TV USP.

.","sses problemas, o autor defende mais educação digital, regulação e uma cultura tecnológica que priorize o bem-estar do usuário em vez do tempo de permanência nas telas.

---

**Datacracia**
A coluna [*Datacracia*](https://jornal.usp.br/radio-usp/perfis/luli-radfahrer/), com o professor Luli Radfahrer, vai ao ar quinzenalmente, sexta-feira às 8h, na Rádio USP (São Paulo 93,7 ; Ribeirão Preto 107,9 ) e também no [Youtube](https://goo.gl/v8ZDAf), com produção da Rádio USP Jornal da USP e TV USP.

.",APROVADO,[]
